AQC00914000 -14.3167 -170.7667  408.4 AS AASUFOU                                      TRADITIONAL  
AQW00061705 -14.3306 -170.7136    3.7 AS PAGO PAGO WSO AP               GSN     91765 TRADITIONAL  
USC00015553  32.2600  -86.2181   68.6 AL MONTGOMERY 6SW                               PSEUDONORMALS
USC00015635  34.4883  -87.2989  189.6 AL MOULTON 2                                    TRADITIONAL  
USC00015658  32.9964  -87.6319   36.6 AL MOUNDVILLE                                   TRADITIONAL  
USC00015752  34.7889  -87.5394  162.8 AL MUSCLE SHOALS 3 NE                           PSEUDONORMALS
USC00016000  33.3264  -86.7561  176.8 AL OAK MTN STATE PARK HQ                        TRADITIONAL  
USC00016121  33.9478  -86.4692  271.9 AL ONEONTA                                      TRADITIONAL  
USC00016129  32.6592  -85.4492  195.1 AL OPELIKA                                      TRADITIONAL  
USC00016196  34.5528  -86.4450  179.8 AL OWENS CROSS ROADS 3S                         PSEUDONORMALS
USC00016246  33.7450  -86.6417  220.1 AL PALMERDALE                                   TRADITIONAL  
USC00016334  32.2258  -88.0281   25.9 AL PENNINGTON 2 NE                              TRADITIONAL  
USC00016436  31.8817  -86.9861   80.8 AL PINE APPLE                                   TRADITIONAL  
USC00016478  33.6906  -86.6850  185.3 AL PINSON                                       TRADITIONAL  
USC00016847  33.3753  -88.0200   72.5 AL REFORM                                       TRADITIONAL  
USC00016988  30.5653  -87.7017   49.1 AL ROBERTSDALE                                  TRADITIONAL  
USC00017020  32.8711  -86.1758  182.9 AL ROCKFORD 3 ESE                               TRADITIONAL  
USC00017025  33.1581  -85.2911  228.6 AL ROCK MILLS                                   TRADITIONAL  
USC00017131  34.5100  -87.7319  253.0 AL RUSSELLVILLE NO 2                            TRADITIONAL  
USC00017157  34.1736  -86.8133  243.8 AL SAINT BERNARD                      HCN       TRADITIONAL  
USC00017207  34.2878  -85.9681  362.7 AL SAND MT SUBSTN                               TRADITIONAL  
USC00017304  34.6736  -86.0536  187.5 AL SCOTTSBORO                         HCN       TRADITIONAL  
USC00017326  32.3217  -85.1683  129.5 AL SEALE                                        PSEUDONORMALS
USC00017366  32.4111  -87.0144   44.8 AL SELMA                              HCN       TRADITIONAL  
USC00017947  33.8997  -88.1325  106.7 AL SULLIGENT                                    TRADITIONAL  
USC00017999  33.2053  -86.2114  149.4 AL SYLACAUGA 4 NE                               TRADITIONAL  
USC00018024  33.4164  -86.1350  136.6 AL TALLADEGA                          HCN       TRADITIONAL  
USC00018038  32.4392  -86.2025   53.9 AL TALLAPOOSA WTP                               TRADITIONAL  
