AQC00914000 -14.3167 -170.7667  408.4 AS AASUFOU                                      TRADITIONAL  
AQW00061705 -14.3306 -170.7136    3.7 AS PAGO PAGO WSO AP               GSN     91765 TRADITIONAL  
USC00201675  41.9622  -84.9925  299.9 MI COLDWATER ST SCHOOL                HCN       TRADITIONAL  
USC00201802  45.8269  -87.1589  242.0 MI CORNELL 5SE                                  TRADITIONAL  
USC00201818  42.9986  -84.0744  232.3 MI CORUNNA 2 NE                                 PSEUDONORMALS
USC00201896  45.6414  -85.0142  219.8 MI CROSS VILLAGE 1E                             TRADITIONAL  
USC00202015  42.3194  -83.2378  184.4 MI DEARBORN                                     TRADITIONAL  
USC00202016  42.3469  -83.1736  184.4 MI DEARBORN #2                                  PSEUDONORMALS
USC00202094  45.9983  -83.9014  181.4 MI DETOUR VILLAGE                               TRADITIONAL  
USC00202140  42.6408  -84.6497  266.7 MI DIMONDALE 1 WSW                              TRADITIONAL  
USC00202250  41.9856  -86.1319  225.6 MI DOWAGIAC 1 W                                 TRADITIONAL  
USC00202308  41.9553  -83.6489  201.2 MI DUNDEE                                       PSEUDONORMALS
USC00202328  42.9269  -83.9894  234.7 MI DURAND WWTP                                  PSEUDONORMALS
USC00202381  45.1519  -85.1322  178.3 MI EAST JORDAN                                  TRADITIONAL  
USC00202395  42.6742  -84.4850  268.2 MI EAST LANSING 4 S                             TRADITIONAL  
USC00202423  44.2839  -83.5036  178.6 MI EAST TAWAS                         HCN       TRADITIONAL  
USC00202427  42.4589  -82.9439  182.9 MI EASTPOINTE                                   PSEUDONORMALS
USC00202437  42.5175  -84.6531  265.2 MI EATON RAPIDS                                 TRADITIONAL  
USC00202445  42.0147  -86.2408  265.2 MI EAU CLAIRE 4 NE                              TRADITIONAL  
USC00202503  45.1806  -85.1992  214.0 MI ELLSWORTH 2ENE                               PSEUDONORMALS
USC00202631  43.6156  -83.8450  179.2 MI ESSEXVILLE                                   TRADITIONAL  
USC00202691  42.4669  -83.3625  219.5 MI FARMINGTON                                   PSEUDONORMALS
USC00202788  44.5650  -85.4133  338.9 MI FIFE LAKE 3WSW                               PSEUDONORMALS
USC00202804  43.9158  -83.0831  193.5 MI FILION 5NNW                                  PSEUDONORMALS
USC00202851  43.0378  -83.7694  207.0 MI FLINT 7 W                                    TRADITIONAL  
USC00202984  44.6481  -86.2100  289.0 MI FRANKFORT 2NE                                TRADITIONAL  
USC00203078  45.8981  -86.5483  199.0 MI GARDEN CORNERS                               PSEUDONORMALS
USC00203096  45.0303  -84.6781  412.4 MI GAYLORD                                      TRADITIONAL  
USC00203099  44.9072  -84.7189  447.4 MI GAYLORD 9SSW                           72634 TRADITIONAL  
USC00203188  44.5358  -83.7022  272.5 MI GLENNIE 2SE                                  PSEUDONORMALS
USC00203268  45.8806  -87.0911  225.9 MI GLADSTONE 4NW                                PSEUDONORMALS
USC00203278  42.9164  -83.5097  277.4 MI GOODRICH                                     PSEUDONORMALS
USC00203290  43.0622  -86.2244  189.0 MI GRAND HAVEN FIRE DEPT                        TRADITIONAL  
USC00203295  43.0608  -86.2047  184.4 MI GRAND HAVEN WWTP                             PSEUDONORMALS
USC00203306  42.7631  -84.7622  243.8 MI GRAND LEDGE 1 NW                             TRADITIONAL  
USC00203391  44.6542  -84.6994  346.3 MI GRAYLING                                     TRADITIONAL  
USC00203429  43.2025  -85.2422  268.8 MI GREENVILLE 2 NNE                             TRADITIONAL  
USC00203477  42.4078  -82.8892  186.8 MI GROSSE POINTE FARMS                          TRADITIONAL  
USC00203504  42.3833  -85.3828  277.4 MI GULL LK BIOLOGICAL STN                       TRADITIONAL  
USC00203529  44.4633  -83.7217  221.9 MI HALE LOUD DAM                                TRADITIONAL  
USC00203585  43.8322  -82.6428  181.4 MI HARBOR BEACH 1 SSE                           TRADITIONAL  
USC00203628  44.6819  -83.2808  178.3 MI HARRISVILLE 2NNE                             TRADITIONAL  
USC00203632  43.6747  -86.4239  234.7 MI HART 3 WSW                         HCN       TRADITIONAL  
USC00203639  46.4908  -87.3550  194.8 MI HARVEY                                       PSEUDONORMALS
USC00203661  42.6422  -85.2875  249.9 MI HASTINGS                                     TRADITIONAL  
USC00203712  42.4344  -83.9858  271.3 MI HELL                                         PSEUDONORMALS
USC00203744  46.6650  -88.3750  509.0 MI HERMAN                                       TRADITIONAL  
USC00203769  43.5908  -86.1056  237.7 MI HESPERIA 4 WNW                               TRADITIONAL  
USC00203823  41.9353  -84.6411  329.2 MI HILLSDALE                          HCN       TRADITIONAL  
USC00203858  42.7989  -86.2050  188.1 MI HOLLAND WTP                                  TRADITIONAL  
USC00203930  44.3122  -84.7747  353.9 MI HOUGHTON LAKE 2NW                            PSEUDONORMALS
USC00203932  44.3119  -84.8922  345.9 MI HOUGHTON LAKE 6 WSW                          TRADITIONAL  
USC00203947  42.5939  -83.9325  279.5 MI HOWELL WWTP                                  TRADITIONAL  
USC00203969  41.8483  -84.2939  266.7 MI HUDSON 3 E                                   TRADITIONAL  
USC00204078  42.9531  -85.0778  245.4 MI IONIA 2SSW                                   TRADITIONAL  
USC00204090  45.7858  -88.0842  326.4 MI IRON MT KINGSFORD WWTP             HCN       TRADITIONAL  
USC00204104  46.4656  -90.1892  435.9 MI IRONWOOD                           HCN       TRADITIONAL  
USC00204130  46.4911  -87.6894  440.1 MI ISHPEMING WWTP                               PSEUDONORMALS
USC00204257  44.7281  -85.1728  315.5 MI KALKASKA                                     TRADITIONAL  
USC00204258  44.5897  -85.0486  330.1 MI KALKASKA 11SE                                PSEUDONORMALS
USC00204320  43.1994  -85.7717  256.0 MI KENT CITY 2 SW                               TRADITIONAL  
USC00204399  44.5694  -85.5722  330.7 MI KINGSLEY 2WSW                                PSEUDONORMALS
USC00204502  44.3089  -85.2050  374.9 MI LAKE CITY EXP FARM                           TRADITIONAL  
USC00204655  43.0608  -83.3075  249.9 MI LAPEER WWTP                                  TRADITIONAL  
USC00204659  43.0581  -83.3606  255.1 MI LAPEER 2W                                    PSEUDONORMALS
USC00204793  42.8133  -83.8039  263.0 MI LINDEN WWTP                                  PSEUDONORMALS
USC00204808  43.2631  -82.5328  189.6 MI LEXINGTON WTP                                PSEUDONORMALS
USC00204939  42.9250  -85.3428  231.6 MI LOWELL 1 SE                                  TRADITIONAL  
USC00204944  42.9292  -85.3403  195.1 MI LOWELL                                       TRADITIONAL  
USC00204954  43.9067  -86.3942  210.3 MI LUDINGTON 4 SE                               PSEUDONORMALS
USC00204967  44.4200  -84.0233  276.8 MI LUPTON 1S                                    PSEUDONORMALS
USC00205050  42.1508  -84.0236  294.1 MI MANCHESTER                                   PSEUDONORMALS
USC00205065  44.2114  -86.2939  204.2 MI MANISTEE 3SE                                 TRADITIONAL  
USC00205073  45.9511  -86.2514  182.9 MI MANISTIQUE WWTP                              PSEUDONORMALS
USC00205097  44.8550  -85.8353  243.5 MI MAPLE CITY 1E                                TRADITIONAL  
USC00205168  43.3308  -83.0664  249.9 MI MARLETTE                                     PSEUDONORMALS
USC00205406  46.5453  -88.1800  521.2 MI MICHIGAMME 3WNW                              PSEUDONORMALS
USC00205434  43.6089  -84.2011  195.1 MI MIDLAND                            HCN       TRADITIONAL  
USC00205451  42.0811  -83.6769  207.3 MI MILAN WWTP                                   PSEUDONORMALS
USC00205452  42.5794  -83.6844  301.8 MI MILFORD GM PROVING GRD                       PSEUDONORMALS
USC00205531  44.6614  -84.1317  292.6 MI MIO HYDRO PLT                                TRADITIONAL  
USC00205533  44.6467  -84.1158  316.1 MI MIO WWTP                                     PSEUDONORMALS
USC00205558  41.9139  -83.3942  179.8 MI MONROE                                       TRADITIONAL  
USC00205567  43.4614  -86.4175  198.1 MI MONTAGUE 4 NW                                TRADITIONAL  
USC00205591  45.9903  -84.8361  211.8 MI MORAN                                        PSEUDONORMALS
USC00205603  41.7217  -84.2147  234.7 MI MORENCI                                      TRADITIONAL  
USC00205662  43.5858  -84.7697  242.6 MI MT PLEASANT UNIV                   HCN       TRADITIONAL  
USC00205690  46.4122  -86.6625  207.3 MI MUNISING                           HCN       TRADITIONAL  
USC00205807  42.6503  -82.8045  173.7 MI NEW BALTIMORE 5SW                            PSEUDONORMALS
USC00205822  41.9497  -83.2800  176.2 MI NEWPORT 4SSE                                 PSEUDONORMALS
USC00205892  41.8406  -86.2658  198.1 MI NILES                                        TRADITIONAL  
USC00206007  45.1322  -85.6472  227.4 MI NORTHPORT 2W                                 TRADITIONAL  
USC00206012  44.8831  -85.6753  249.9 MI NW MICHIGAN RSCH FM                          TRADITIONAL  
USC00206158  44.9214  -85.5161  199.9 MI OLD MISSION 3SSW                             TRADITIONAL  
USC00206184  45.4108  -84.2233  227.1 MI ONAWAY 4N                                    TRADITIONAL  
USC00206220  46.8342  -89.2075  240.8 MI ONTONAGON 6 SE                               TRADITIONAL  
USC00206228  46.8375  -89.4833  186.8 MI ONTONAGON 8WSW                               PSEUDONORMALS
USC00206300  43.0161  -84.1800  222.5 MI OWOSSO WWTP                        HCN       TRADITIONAL  
USC00206442  45.5719  -84.7858  217.0 MI PELLSTON AP #2                               PSEUDONORMALS
USC00206507  45.3725  -84.9767  182.6 MI PETOSKEY                                     TRADITIONAL  
USC00206510  45.3614  -84.9511  228.0 MI PETOSKEY NCMC                                PSEUDONORMALS
USC00206583  46.1864  -84.3239  191.7 MI PICKFORD 3NE                                 PSEUDONORMALS
USC00206587  43.8567  -83.9561  178.9 MI PINCONNING WWTP                              PSEUDONORMALS
USC00206658  42.6389  -83.2556  271.3 MI PONTIAC WWTP                                 TRADITIONAL  
USC00206662  44.0469  -82.9703  184.4 MI PORT AUSTIN WWTP                             PSEUDONORMALS
USC00206663  43.9483  -82.7142  182.9 MI PORT HOPE                                    PSEUDONORMALS
USC00206680  42.9750  -82.4194  179.8 MI PORT HURON                                   TRADITIONAL  
USC00206982  42.8783  -82.7958  233.2 MI RICHMOND 4 NNW                               PSEUDONORMALS
USC00207094  45.4169  -83.8158  187.5 MI ROGERS CITY                                  TRADITIONAL  
USC00207190  46.2964  -84.5761  229.5 MI RUDYARD 4N                                   TRADITIONAL  
USC00207222  43.4122  -83.9561  182.9 MI SAGINAW #3                                   TRADITIONAL  
USC00207274  45.8489  -84.7228  181.4 MI ST IGNACE MACKINAC BR                        TRADITIONAL  
USC00207280  43.0114  -84.5542  226.5 MI SAINT JOHNS                                  TRADITIONAL  
USC00207308  42.1611  -83.7819  228.6 MI SALINE                                       PSEUDONORMALS
USC00207312  42.1236  -83.8200  256.0 MI SALINE 4SW                                   PSEUDONORMALS
USC00207350  43.4194  -82.8192  235.9 MI SANDUSKY                                     TRADITIONAL  
USC00207364  46.4867  -84.4089  192.0 MI SAULT STE MARIE                              TRADITIONAL  
USC00207419  43.7319  -83.4592  178.0 MI SEBEWAING                                    PSEUDONORMALS
USC00207684  44.6392  -85.3250  318.8 MI SOUTH BOARDMAN 2W                            PSEUDONORMALS
USC00207690  42.4014  -86.2833  189.0 MI SOUTH HAVEN                        HCN       PSEUDONORMALS
USC00207742  45.7019  -87.5256  262.1 MI SPALDING 1 NW                                TRADITIONAL  
USC00207812  46.0556  -88.6275  442.0 MI STAMBAUGH 2SSE                     HCN       TRADITIONAL  
USC00207820  43.9472  -84.0378  196.6 MI STANDISH 5SW                                 TRADITIONAL  
USC00207867  45.3903  -87.7025  210.3 MI STEPHENSON 5WSW                              TRADITIONAL  
USC00208043  46.6014  -85.2239  227.1 MI TAHQUAMENON FALLS SP                         PSEUDONORMALS
USC00208080  42.0028  -83.9336  237.7 MI TECUMSEH                                     PSEUDONORMALS
USC00208184  41.9297  -85.6383  246.9 MI THREE RIVERS                                 TRADITIONAL  
USC00208202  42.0283  -84.1108  295.7 MI TIPTON 2WNW                                  PSEUDONORMALS
USC00208249  44.7608  -85.6442  193.5 MI TRAVERSE CITY MUNSON                         PSEUDONORMALS
USC00208293  46.1989  -85.0728  265.5 MI TROUT LAKE 2WNW                              TRADITIONAL  
USC00208345  46.8831  -88.8608  367.6 MI TWIN LAKES                                   PSEUDONORMALS
USC00208417  45.1703  -84.4397  275.8 MI VANDERBILT 11ENE                             TRADITIONAL  
USC00208443  43.3656  -83.5828  192.0 MI VASSAR                                       PSEUDONORMALS
USC00208468  43.3925  -84.9092  278.9 MI VESTABURG                                    TRADITIONAL  
USC00208680  46.2778  -89.1742  484.6 MI WATERSMEET                                   TRADITIONAL  
USC00208706  46.5100  -88.6664  434.9 MI WATTON                                       PSEUDONORMALS
USC00208772  44.2586  -85.9394  198.1 MI WELLSTON TIPPY DAM                           TRADITIONAL  
USC00208774  44.2294  -85.9572  235.6 MI WELLSTON 1N                                  PSEUDONORMALS
USC00208779  42.5414  -83.3431  271.3 MI WEST BLOOMFIELD                              PSEUDONORMALS
USC00208800  44.2542  -84.2011  269.7 MI WEST BRANCH 3SE                              TRADITIONAL  
USC00208890  43.5492  -85.5842  263.7 MI WHITE CLOUD 9E                               TRADITIONAL  
USC00208920  46.7531  -84.9789  184.4 MI WHITEFISH POINT                        72737 TRADITIONAL  
USC00208941  42.6981  -83.4717  321.0 MI WHITE LAKE 4E                                PSEUDONORMALS
USC00208972  42.4356  -83.7831  276.1 MI WHITMORE LAKE 1NW                            PSEUDONORMALS
USC00209006  42.7103  -84.2503  272.8 MI WILLIAMSTON 3NE                              TRADITIONAL  
USC00209110  42.2011  -83.1686  176.8 MI WYANDOTTE                                    PSEUDONORMALS
USC00209188  43.1447  -82.8011  249.9 MI YALE 1 NNW                                   TRADITIONAL  
